Postal,Lat,Lon,Address
560435,1.367703678,103.8542143,435 ANG MO KIO AVE 10
560444,1.366600453,103.8555788,444 ANG MO KIO AVE 10
560585,1.370597561,103.852367,585 ANG MO KIO AVE 3
560587,1.370188804,103.8524295,587 ANG MO KIO AVE 3
560124,1.370891793,103.8447683,124 ANG MO KIO AVE 6
560475,1.362662978,103.8565159,475 ANG MO KIO AVE 10
560419,1.365346697,103.8541518,419 ANG MO KIO AVE 10
560442,1.365653269,103.8552322,442 ANG MO KIO AVE 10
560404,1.361677671,103.8547265,404 ANG MO KIO AVE 10
560449,1.367858883,103.856047,449 ANG MO KIO AVE 10
560471,1.363466006,103.8567029,471 ANG MO KIO AVE 10
560432,1.36830997,103.8536003,432 ANG MO KIO AVE 10
560405,1.361579127,103.8538054,405 ANG MO KIO AVE 10
560441,1.366050278,103.8541683,441 ANG MO KIO AVE 10
560130,1.370397917,103.8418788,130 ANG MO KIO AVE 3
560424,1.368606603,103.8508088,424 ANG MO KIO AVE 3
560433,1.368076523,103.854353,433 ANG MO KIO AVE 10
560571,1.370055013,103.8548806,571 ANG MO KIO AVE 3
560425,1.369122417,103.8516161,425 ANG MO KIO AVE 3
610346,1.340236567,103.7208852,346 KANG CHING RD
610368,1.337470646,103.7197861,368 CORPORATION DR
610355,1.338573457,103.7208358,355 KANG CHING RD
610345,1.340207482,103.7215343,345 KANG CHING RD
610348,1.340609942,103.7197823,348 KANG CHING RD
610354,1.339157885,103.7209314,354 KANG CHING RD
610347,1.34050041,103.7202,347 KANG CHING RD
610353,1.339636047,103.7205282,353 KANG CHING RD
610330,1.337667461,103.7241548,330 TAH CHING RD
610325,1.33598238,103.7231279,325 TAH CHING RD
610352,1.339365794,103.7201844,352 KANG CHING RD
610328,1.336634513,103.7226004,328 TAH CHING RD
640267,1.34644748,103.7069468,267 BOON LAY DR
640645,1.33903532,103.6964613,645 JURONG WEST ST 61
640642,1.340369897,103.6958398,642 JURONG WEST ST 61
640639,1.340695717,103.6968843,639 JURONG WEST ST 61
640647,1.340111291,103.6973881,647 JURONG WEST ST 61
640641,1.340668114,103.6963568,641 JURONG WEST ST 61
640644,1.339591891,103.6963576,644 JURONG WEST ST 61
641649,1.338028458,103.6973568,649A JURONG WEST ST 61
641650,1.338018677,103.6969043,650A JURONG WEST ST 61
643517,1.344936308,103.7200246,517C JURONG WEST ST 52
640618,1.34155375,103.7005028,618 JURONG WEST ST 65
644663,1.338844407,103.7023394,663D JURONG WEST ST 65
644664,1.338946411,103.7027844,664D JURONG WEST ST 64
642663,1.338132418,103.701603,663B JURONG WEST ST 65
641667,1.341758561,103.7014904,667A JURONG WEST ST 65
641663,1.338531459,103.7015451,663A JURONG WEST ST 65
642650,1.337998306,103.6963201,650B JURONG WEST ST 61
643663,1.338045317,103.7024297,663C JURONG WEST ST 65
641664,1.339206416,103.7033975,664A JURONG WEST ST 64
642667,1.340974795,103.7016029,667B JURONG WEST ST 65
642664,1.33835413,103.7035857,664B JURONG WEST ST 64
645517,1.344567771,103.7190189,517E JURONG WEST ST 52
640619,1.341517346,103.6998994,619 JURONG WEST ST 65
640623,1.340327579,103.6982473,623 JURONG WEST ST 61
610179,1.333688668,103.7207475,179 YUNG SHENG RD
640624,1.340784384,103.6978761,624 JURONG WEST ST 61
643273,1.351832419,103.7040078,273C JURONG WEST AVE 3
644274,1.352203458,103.7043861,274D JURONG WEST AVE 3
642661,1.335993391,103.7056175,661B JURONG WEST ST 64
610180,1.333691422,103.7212664,180 YUNG SHENG RD
640636,1.342251668,103.6978706,636 JURONG WEST ST 65
642657,1.335960987,103.7008403,657B JURONG WEST ST 65
610182,1.333691295,103.7225032,182 YUNG SHENG RD
644659,1.336409713,103.7024789,659D JURONG WEST ST 65
